activity_id,client_code,service_week,service_cat,bill_total,currency_symbol,tech_initials,status_code,total_mins,parts_list,warranty_yn,follow_up,remarks,last_updated,rating
9447dc0d-8ecb-4017-8b22-f5b9186ce5e6,1bc256af-bf91-4d62-bb20-c1073e316455,2024-12-26,Installation,1773.04,USD,OWF,Pending,111,PartD,1,1,O1Se5kDRQ1PECXQ3GqQfJh7h3bN43v,2025-08-31 11:35:29,2.1
09963242-67a6-4aaf-9afe-ea5979814888,2f95358c-eb1d-4945-8364-cd5f6e559d3d,2025-04-24,Repair,4093.47,USD,PDF,Cancelled,296,"PartD, PartA",1,0,1E19RUB79LYJXUmdOfLvAfW5Vlalrd,2025-08-31 11:35:29,1.5
1a962b7d-4381-4aee-9bab-83ec6162582f,e213e1b9-db20-4ac6-850e-aa59bf900c93,2025-06-29,Maintenance,1720.06,USD,RHK,Pending,98,PartD,1,1, JsT75f esL9gbNWcqZ45SZgeKcC1R,2025-08-31 11:35:29,4.8
5143ac58-d6d8-4d1f-88b1-808ac7501400,7ffbbc50-e81c-4472-9fc6-e8d18e9d304a,2025-04-06,Installation,4695.48,EUR,LNW,Completed,243,,1,0,DXCSqQ2trxLgQP ACh6XQT8AuAg40D,2025-08-31 11:35:29,4.8
41172766-3a53-486c-b55a-88668afd6b06,490af916-946b-45b6-9f8b-c0f595d65cc8,2025-03-20,Inspection,4271.84,USD,NKW,Cancelled,313,PartB,1,0, VR1jCvrV9bhI3ewwiLeUAKzYuKbu4,2025-08-31 11:35:29,4.2
d006343d-ae3b-426c-863b-249f379524bf,a8122114-4486-4f31-83e1-9738f969eb4c,2025-04-08,Repair,950.61,INR,ILG,Cancelled,48,"PartC, PartA",1,1,rRNAtgbPN2C894Fb52mz286cZZ49WH,2025-08-31 11:35:29,2.5
05d6e13e-f8b0-481a-aa9b-8aad52e4c25d,ffe43432-e08e-485f-a145-7f59dc0d58c8,2025-01-16,Installation,1583.32,INR,LUG,Completed,211,PartD,0,1,rAQLF8Zo 5joLmNgK4Y8sMEPtaBtVx,2025-08-31 11:35:29,1.2
76d0c9a3-2051-44c1-b2cd-889921b2a861,568ee84c-833b-4509-b4b0-daebee8505ed,2025-08-11,Maintenance,2893.72,INR,CSM,InProgress,274,"PartD, PartD, PartD",1,1,4m1pLzlCaCQ5Yg1f4uZbofwGy1Vbqu,2025-08-31 11:35:29,3.6
cbb65780-0659-4c0f-b2f5-f7094b0b1526,d277b8d1-aa6d-49bb-a718-42b46c36cb18,2025-08-13,Inspection,1332.62,INR,OFN,Completed,258,"PartB, PartD, PartD",0,0,wBniMgaxJnTc89L0RZl46RSanUvDML,2025-08-31 11:35:29,1.5
43c08030-1104-4754-b6c4-1ac8e8d41c03,fdc66cc8-0a30-4902-89f7-620e175339f8,2025-02-23,Inspection,3773.45,INR,GLT,Pending,46,,1,0,QoPbGYUPmiyVYR4et5VLF4A5s3BBL1,2025-08-31 11:35:29,2.4
04d8b06c-9890-478f-bd8a-3dcbd411134c,cd9c64c4-b0b6-4a2d-b10b-cbd4829b8fec,2025-03-12,Installation,4108.34,USD,AGR,InProgress,169,,0,1,blERSa7v1UCQ4sFHIQgFnutVSEHaAr,2025-08-31 11:35:29,3.6
0326afbf-8860-4ee6-ac4c-88f326de3a89,26b5fff7-f74f-41aa-a485-992a2629a22a,2024-10-16,Repair,2168.86,INR,XAE,InProgress,270,PartA,0,0,8L1G1KPYE0YAU3vYXf923PXkVBfYAe,2025-08-31 11:35:29,3.7
47356775-0769-4089-be67-cb9d23c1363a,a0c81e55-58a7-40c3-9283-0943be080423,2025-03-07,Inspection,4839.86,EUR,NRH,Cancelled,351,"PartA, PartC, PartC",0,0,fFN 8IKe5zsiuPjwX54anWOapnl H0,2025-08-31 11:35:29,4.9
36bf33c7-6003-4b74-ba1c-a33387fb518a,dcd01dbc-9fdf-49b4-b41d-46b7b1602f26,2025-05-01,Repair,1391.32,USD,VTT,Pending,170,PartA,0,1,NgXmULjDXkEf47vo51ctGGrBXLnw z,2025-08-31 11:35:29,4.6
4608376f-2e4b-4891-8fe4-b23b40f29776,3e913e76-472f-42cb-a8d8-cae689582d8e,2025-05-19,Installation,2242.04,INR,RMT,InProgress,75,"PartA, PartC",1,0,2oUo2K6SUWy8R2tBScHEcAhsXzdI P,2025-08-31 11:35:29,1.8
386324f5-23d3-4ed6-b605-1097f8ca1141,76170904-e245-4281-9bf3-972c00236fd9,2024-10-13,Inspection,3694.24,EUR,EGN,InProgress,477,"PartA, PartD",1,1,88ZAf8oQ7PjLnEdpuEMpJCvUZky018,2025-08-31 11:35:29,3.4
d341f8b1-d24e-4785-b123-38e8aa12ac53,f563055f-3787-462c-b374-eaa3721f2f79,2024-12-07,Inspection,3458.7,USD,PXQ,InProgress,283,PartC,0,0,9gCsdDE6Uuik du7UPUK2bQ3brSQ3k,2025-08-31 11:35:29,3.6
